student_id,name,gender,age,branch,year,city
ST001,Priya A,Male,20,CSE,3,Kakinada
ST002,Arjun B,Male,22,AIML,3,Eluru
ST003,Ananya C,Male,18,CSE,3,Kakinada
ST004,Varun D,Male,22,CSE,3,Eluru
ST005,Divya E,Female,22,ECE,3,Vijayawada
ST006,Sneha F,Female,20,ECE,3,Nellore
ST007,Kiran G,Female,18,AIML,3,Eluru
ST008,Priya H,Female,20,EEE,3,Rajahmundry
ST009,Ananya I,Female,22,aiml,3,Eluru
ST010,Rahul J,Female,22,ECE,3,Kakinada
ST011,Rahul K,Male,19,ECE,3,Guntur
ST012,Divya L,Male,21,ECE,3,Hyderabad
ST013,Pooja M,Male,20,ECE,3,Kakinada
ST014,Rohit N,Male,22,CSE,3,Kakinada
ST015,Sneha O,Female,21,ECE,3,Kakinada
ST016,Vishal P,Male,19,AIML,3,Visakhapatnam
ST017,Sai Q,Female,18,CSE,3,Visakhapatnam
ST018,Kiran R,Female,21,IT,3,Nellore
ST019,Rohit S,Male,19,AIML ,3,Rajahmundry
ST020,Manoj T,Female,22,IT,3,Visakhapatnam
ST021,Divya U,Male,22,IT,3,Guntur
ST022,Ananya V,Male,19,CSE,3,Eluru
ST023,Bhavya W,Male,21,IT,3,Hyderabad
ST024,Varun X,Female,22,AIML,3,Guntur
ST025,Lavanya Y,Female,20,AIML,3,Rajahmundry
ST026,Harsha Z,Male,21,AIML,3,Rajahmundry
ST027,Varun A,Male,22,AIML,3,Rajahmundry
ST028,Varun B,Male,19,ECE,3,Nellore
ST029,Lavanya C,Male,22,Aiml,3,Hyderabad
ST030,Aarav D,Male,20,ECE,3,Kakinada
ST031,Ananya E,Male,22,AIML,3,Guntur
ST032,Swathi F,Male,22,CSE,3,Nellore
ST033,Swathi G,Male,20,EEE,3,Eluru
ST034,Kiran H,Male,20,IT,3,Visakhapatnam
ST035,Nikhil I,Female,18,CSE,3,Kakinada
ST036,Rahul J,Female,18,EEE,3,Kakinada
ST037,Manoj K,Male,18,AIML,3,Vijayawada
ST038,Divya L,Male,18,ECE,3,Guntur
ST039,Varun M,Male,20,IT,3, Nellore 
ST040,Lavanya N,Male,22,EEE,3,Hyderabad
ST041,Divya O,Female,21,CSE,3,Guntur
ST042,Priya P,Female,20,IT,3,Eluru
ST043,Nikhil Q,Male,18,AIML,3,Eluru
ST044,Vishal R,Male,19,CSE,3,Kakinada
ST045,Lavanya S,Female,19,IT,3,Nellore
ST046,Rohit T,Female,19,AIML,3,Hyderabad
ST047,Lavanya U,Male,18,EEE,3,Vijayawada
ST048,Rahul V,Male,19,IT,3,Hyderabad
ST049,Swathi W,Male,21,AIML,3,Vijayawada 
ST050,Sai X,Male,21,ECE,3,Hyderabad
ST051,Keerthi Y,Female,22,IT,3,Nellore
ST052,Kiran Z,Female,19,AIML,3,Vijayawada
ST053,Vishal A,Male,18,EEE,3,Hyderabad
ST054,Varun B,Male,18,EEE,3,Guntur
